CODE_UIC,LIBELLE,lat,lon,Perdu,Restituer,PerduRestituer,voyageur,ratioPV,voyageur2,ratioPV2
87354597,St-Sébastien-Frêne-Rond,47.1908205627,-1.4960494436,0,0,0,26294,0,26294,0
87576181,Les Quatre-Roues,47.3324082801,1.7024536876,0,0,0,36,0,36,0
87171926,Champagne-Ardenne-TGV,49.214559242,3.99365599561,0,0,0,1211919,0,969535,0
87474155,Rosporden,47.9609276774,-3.84205584071,0,0,0,176783,0,141427,0
87141598,Tantonville,48.4839111113,6.12920973348,0,0,0,150,0,150,0
87393132,Versailles-Matelots,48.7955232491,2.09577546088,0,0,0,0,0,0,0
87755223,Bandol,43.1404910483,5.74981552623,0,0,0,380402,0,304322,0
87582577,Solférino,44.145491647,-0.916308236087,0,0,0,0,0,0,0
87191643,Apach,49.4589273156,6.37213215068,0,0,0,1164,0,1164,0
87381509,Mantes-la-Jolie,48.9894175267,1.70393872293,354,76,"0,214689265536723",4160632,"8,5083227740401E-05",4160632,"8,5083227740401E-05"
87144097,Thaon,48.244680165,6.41596928683,0,0,0,271513,0,217211,0
87386540,Munster-Badischhof,48.0390819301,7.1529724879,0,0,0,9959,0,9959,0
87411470,Serqueux,49.6314629387,1.53987753855,0,0,0,72971,0,72971,0
87481622,Issé,47.6268389315,-1.45103277563,0,0,0,19694,0,19694,0
87141200,Einvaux,48.5034033178,6.39311879121,0,0,0,5113,0,5113,0
87765479,L'Isle-Fontaine-de-Vaucluse,43.9171698977,5.04751847299,0,0,0,175213,0,140170,0
87753202,St-Chamas,43.5510581223,5.04013511619,0,0,0,64155,0,64155,0
87775825,Le Cailar,43.6832766531,4.23491759573,0,0,0,833,0,833,0
87411181,Tourville,49.3245552126,1.09850986988,0,0,0,1342,0,1342,0
87712331,Velars,47.3269974265,4.92796216568,0,0,0,4918,0,4918,0
87393058,Champ-de-Mars-Tour-Eiffel,48.8538260857,2.28766198021,0,0,0,8792539,0,8792539,0
87576405,St-Germain-du-Puy,47.0963219989,2.48445227314,0,0,0,6800,0,6800,0
87584540,St-Aigulin-La Roche-Chalais,45.1572333305,-0.0191920149023,0,0,0,13155,0,13155,0
87784769,Fontpédrouse-St-Thomas-les-Bains,42.5136987478,2.18861948335,0,0,0,2886,0,2886,0
87193615,Sarreguemines,49.1070995491,7.06795583492,0,0,0,483312,0,386649,0
87444232,Couliboeuf,48.9235825289,-0.0982956449558,0,0,0,262,0,262,0
87172486,Messempré,49.6768403284,5.16412791587,0,0,0,0,0,0,0
87182626,Fellering,47.8977032704,6.98699542899,0,0,0,24528,0,24528,0
87474155,Rosporden,47.9604327569,-3.83243957993,0,0,0,176783,0,141427,0
87576173,Faubourg-d'Orléans,47.3668333451,1.74023422561,0,0,0,142480,0,113984,0
87286864,Ascq,50.6219527585,3.15976822699,0,0,0,18741,0,18741,0
87172353,Carignan,49.6285304752,5.1683358673,0,0,0,20816,0,20816,0
87722678,Le Péage-de-Roussillon,45.3716225999,4.79527843003,0,0,0,999360,0,799488,0
87400986,Magneux-Courlandon,49.3099398385,3.73382960617,0,0,0,17563,0,17563,0
87608802,Créteil-Pompadour,48.7712391259,2.43551527517,0,0,0,7143659,0,7143659,0
87313015,Saleux,49.8626265032,2.22683596827,0,0,0,0,0,0,0
87192211,Courcelles-sur-Nied,49.063488805,6.31098907151,0,0,0,20933,0,20933,0
87571000,Tours,47.3879206614,0.695556792192,1970,650,"0,32994923857868",5863480,"0,00033597795166",4690784,"0,000419972439575"
87682104,Montgeron-Crosne,48.7090770583,2.46060264842,0,0,0,4669094,0,4669094,0
87415141,Longueville-sur-Scie,49.7917569232,1.11061161021,0,0,0,24211,0,24211,0
87393629,Plaisir-Les Clayes,48.830997705,1.95749333191,0,0,0,1031961,0,1031961,0
87761205,Portes,44.8795372569,4.87424600285,0,0,0,0,0,0,0
87671487,Ygos,43.9782838264,-0.736194651381,0,0,0,26203,0,26203,0
87394403,La Taye,48.4079057147,1.37368070148,0,0,0,11314,0,11314,0
87743716,Ambérieu,45.953903808,5.34255393449,64,32,"0,5",1460784,"4,38120899462207E-05",1168627,"5,47651218053322E-05"
87386409,Houilles-Carrières-sur-Seine,48.9207836515,2.18463478878,0,0,0,15199239,0,15199239,0
87415323,Bourgtheroulde-Thuit-Hébert,49.3175742686,0.838230934043,0,0,0,1534,0,1534,0
87396028,Neuville-sur-Sarthe,48.0703977607,0.199790147045,0,0,0,7929,0,7929,0
87476671,Questembert,47.683185304,-2.44962095391,0,0,0,163621,0,130897,0
87641043,Lapeyrouse,46.2230928129,2.89429484859,0,0,0,4130,0,4130,0
87184622,Clerval,47.3966213601,6.49212709274,0,0,0,44943,0,44943,0
87396358,Voivres,47.9303622507,0.0852422723575,0,0,0,25628,0,25628,0
87784827,Estavar,42.4632459262,2.01781999266,0,0,0,228,0,228,0
87747006,Grenoble,45.1821096505,5.71851533642,1079,413,"0,382761816496756",10164418,"0,000106154626856",7057612,"0,000152884573422"
87491316,Le Douhet-Écoyeux,45.8135639437,-0.559544832069,0,0,0,0,0,0,0
87673707,Ossès-St-Martin-d'Arrossa,43.2353121734,-1.30495931135,0,0,0,1979,0,1979,0
87381137,Asnières-sur-Seine,48.9055284826,2.28422648362,0,0,0,21361941,0,21361941,0
87681312,Viry-Châtillon,48.6761220754,2.3868230878,0,0,0,1918576,0,1918576,0
87171637,Sillery,49.2033257999,4.14419978071,0,0,0,812,0,812,0
87781328,Florensac,43.3887033599,3.43452142999,0,0,0,0,0,0,0
87571422,Esvres,47.2841218779,0.78157375963,0,0,0,28381,0,28381,0
87474320,Pleyber-Christ,48.5074785646,-3.88308622976,0,0,0,1591,0,1591,0
87141432,Thiaville,48.4137273595,6.81041435704,0,0,0,2262,0,2262,0
87586149,Colayrac,44.2277535456,0.5587892634,0,0,0,0,0,0,0
87615757,Baraqueville-Carcenac-Peyralès,44.2706031893,2.42814392744,0,0,0,6223,0,6223,0
87681007,Corbeil-Essonnes,48.6140708826,2.47378241086,0,0,0,8546010,0,8546010,0
87696492,Cercy-la-Tour,46.8578032479,3.64499036715,0,0,0,26574,0,26574,0
87144352,Gironcourt-Houécourt,48.3104538826,5.9214755137,0,0,0,0,0,0,0
87194274,Longuyon,49.4406029883,5.61303082811,0,0,0,45700,0,45700,0
87763300,Veynes-Dévoluy,44.5316410695,5.81524856975,0,0,0,78109,0,78109,0
87393645,Gravigny-Balizy,48.6851900005,2.31793000048,0,0,0,504961,0,504961,0
87592808,La Meyze,45.6207941405,1.21260241788,0,0,0,2753,0,2753,0
87481168,Le Cellier,47.3131633554,-1.35093010112,0,0,0,44667,0,44667,0
87114413,Sucy-Bonneuil,48.7710186497,2.50781087373,0,0,0,0,0,0,0
87722660,Clonas,45.4146029663,4.77208576852,0,0,0,0,0,0,0
87322347,Traou-Nez,48.7485550461,-3.1351552581,0,0,0,111,0,111,0
87396259,Rouessé-Vassé,48.1602602218,-0.200093332553,0,0,0,2902,0,2902,0
87574558,Vendôme,47.8020315345,1.06714136955,0,0,0,64882,0,64882,0
87387126,St-Aubin-du-Vieil-Évreux,48.9983377384,1.2107339416,0,0,0,0,0,0,0
87381129,Clichy-Levallois,48.8978560754,2.29788125935,0,0,0,30233580,0,30233580,0
87575365,St-Saviol,46.1471536287,0.217879646355,0,0,0,28325,0,28325,0
87756486,Menton,43.7745575417,7.4931052979,0,0,0,2130190,0,1704152,0
87113886,L'Abbaye,48.9223369549,2.51692794762,0,0,0,839658,0,839658,0
87641167,Les Ancizes-St-Georges,45.9313225578,2.83482721234,0,0,0,0,0,0,0
87615351,Roquesérière,43.750929971,1.61915325568,0,0,0,1322,0,1322,0
87171348,Bazoches,49.3052744986,3.61646777036,0,0,0,8488,0,8488,0
87723734,St-André-de-Corcy,45.9259817176,4.94870763627,0,0,0,288219,0,230575,0
87144055,Charmes,48.3786852958,6.30173337309,0,0,0,345574,0,276459,0
87611673,Grisolles,43.8273944076,1.30208622535,0,0,0,76716,0,76716,0
87276469,Persan-Beaumont,49.1482787291,2.27878596388,0,0,0,3323193,0,3323193,0
87751602,L'Estaque,43.3637940723,5.32140130074,0,0,0,60832,0,60832,0
87396580,Mayet,47.7600852377,0.265937532744,0,0,0,36665,0,36665,0
87571513,La Membrolle-sur-Choisille,,,0,0,0,1822,0,1822,0
87396051,Teillé,48.1813892188,0.191517320153,0,0,0,5928,0,5928,0
87194506,Saulnes,49.5314532517,5.82918664788,0,0,0,0,0,0,0
87581017,Bordeaux-Bastide,44.8591479551,-0.538969146327,0,0,0,0,0,0,0
87324095,Futuroscope,46.6698236437,0.378103406682,0,0,0,167515,0,134012,0
87184002,Belfort,47.6297372958,6.85552712984,12,4,"0,333333333333333",1258503,"9,53513817607109E-06",1006802,"1,1918927455448E-05"
87396002,Le Mans,,,365,88,"0,241095890410959",7564034,"4,8254674688136E-05",4916622,"7,42379625686091E-05"
87345447,Aubigny-au-Bac,,,0,0,0,44209,0,44209,0
87575084,Loudun,,,0,0,0,0,0,0,0
87286989,Mouscron,,,0,0,0,0,0,0,0
87214288,Obernai,48.4621236584,7.48911643635,0,0,0,789718,0,631775,0
87682542,St-Fargeau,,,0,0,0,105845,0,105845,0
87191635,Sierck-les-Bains,49.4440081409,6.35014541008,0,0,0,1853,0,1853,0
87313544,Cramoisy,49.2565389653,2.40502126852,0,0,0,4447,0,4447,0
87756908,Vintimille,43.8901960603,7.53084337891,0,0,0,0,0,0,0
87732404,Gannat,46.1009576938,3.20464609144,0,0,0,81266,0,81266,0
87223263,Lille-Europe,50.6393715804,3.0753586807,2822,1139,"0,403614457831325",11013702,"0,000256226289762",6938632,"0,000406708411687"
87471094,La Brohinière,48.2121051484,-2.10715382964,0,0,0,11065,0,11065,0
87191007,Thionville,49.3542279403,6.17065725684,11,1,"0,090909090909091",3483254,"3,15796665991053E-06",2786603,"3,94745860820504E-06"
87172353,Carignan,49.6290756835,5.16749860244,0,0,0,20816,0,20816,0
87191007,Thionville,49.3469790479,6.15984271533,11,1,"0,090909090909091",3483254,"3,15796665991053E-06",2786603,"3,94745860820504E-06"
